Team,AdjO,AdjD,AdjT
Akron,117.18,105.356,70.3207
Alabama,129.507,102.796,73.0592
Arizona,126.932,91.395,70.0266
Arkansas,127.941,101.658,70.9743
BYU,124.747,104.326,69.7791
Cal Baptist,107.493,100.316,65.9312
Clemson,116.552,96.9789,64.2733
Connecticut,123.092,94.9754,64.5828
Duke,128.153,90.8155,65.8029
Florida,126.101,92.2718,70.3985
Furman,106.907,109.011,65.8409
Georgia,124.335,104.763,72.0259
Gonzaga,120.294,94.0227,68.9324
Hawaii,106.886,101.843,69.581
High Point,115.685,107.508,69.8891
Hofstra,113.18,104.926,64.7138
Houston,125.358,92.3934,63.3252
Howard,103.463,106.233,69.0479
Idaho,108.828,106.182,67.4242
Illinois,131.947,98.2048,65.7183
Iowa,122.134,100.201,63.0271
Iowa St.,123.77,92.631,66.9617
Kansas,117.844,94.3723,67.6097
Kennesaw St.,110.804,109.506,71.2667
Kentucky,119.916,99.9824,68.3193
LIU,103.644,109.767,67.8289
Lehigh,102.581,112.778,66.869
Louisville,124.031,98.1664,69.7123
McNeese,113.157,102.15,66.1361
Miami FL,121.083,101.458,67.9297
Miami OH,116.683,107.59,69.9417
Michigan,127.642,91.0441,71.2159
Michigan St.,122.904,96.1771,65.9808
Missouri,119.933,103.038,66.3797
N.C. State,124.079,104.652,69.0919
Nebraska,117.23,93.4895,66.8209
North Carolina,121.44,100.03,67.9856
North Dakota St.,111.443,106.038,66.3569
Northern Iowa,109.741,98.5751,62.1869
Ohio St.,125.213,101.597,66.1615
Penn,106.567,105.404,69.0243
Prairie View A&M,101.438,111.379,70.869
Purdue,133.299,100.254,64.4364
Queens,114.656,117.097,69.5022
SMU,123.03,104.983,68.6221
Saint Louis,119.538,102.24,71.0139
Saint Mary's,119.379,97.5664,65.3021
Santa Clara,124.998,103.728,69.2574
Siena,107.228,108.929,64.6304
South Florida,116.783,101.408,71.4015
St. John's,119.82,94.1091,69.6038
TCU,114.851,99.6486,67.5796
Tennessee,121.499,95.5266,65.2248
Tennessee St.,107.801,111.898,70.1366
Texas,124.042,106.394,67.0987
Texas A&M,119.876,101.411,71.0159
Texas Tech,126.298,98.8004,66.4082
Troy,110.704,109.031,65.0841
UCF,119.997,105.681,69.1161
UCLA,124.537,101.772,64.6877
UMBC,107.575,109.239,66.0071
Utah St.,123.028,102.086,67.5537
VCU,119.284,103.065,68.681
Vanderbilt,127.46,99.346,68.9818
Villanova,119.606,100.54,64.9464
Virginia,122.252,95.8344,65.5776
Wisconsin,127.18,101.643,68.694
Wright St.,112.383,109.024,66.9769
